vu_id,user_iteration,user_id,email,start_offset_ms
1,1,9100001,s08-user-001@test.tikitaka.local,0
1,2,9100002,s08-user-002@test.tikitaka.local,0
1,3,9100003,s08-user-003@test.tikitaka.local,0
1,4,9100004,s08-user-004@test.tikitaka.local,0
1,5,9100005,s08-user-005@test.tikitaka.local,0
1,6,9100006,s08-user-006@test.tikitaka.local,0
2,1,9100007,s08-user-007@test.tikitaka.local,10
2,2,9100008,s08-user-008@test.tikitaka.local,10
2,3,9100009,s08-user-009@test.tikitaka.local,10
2,4,9100010,s08-user-010@test.tikitaka.local,10
2,5,9100011,s08-user-011@test.tikitaka.local,10
2,6,9100012,s08-user-012@test.tikitaka.local,10
3,1,9100013,s08-user-013@test.tikitaka.local,20
3,2,9100014,s08-user-014@test.tikitaka.local,20
3,3,9100015,s08-user-015@test.tikitaka.local,20
3,4,9100016,s08-user-016@test.tikitaka.local,20
3,5,9100017,s08-user-017@test.tikitaka.local,20
3,6,9100018,s08-user-018@test.tikitaka.local,20
4,1,9100019,s08-user-019@test.tikitaka.local,30
4,2,9100020,s08-user-020@test.tikitaka.local,30
4,3,9100021,s08-user-021@test.tikitaka.local,30
4,4,9100022,s08-user-022@test.tikitaka.local,30
4,5,9100023,s08-user-023@test.tikitaka.local,30
4,6,9100024,s08-user-024@test.tikitaka.local,30
5,1,9100025,s08-user-025@test.tikitaka.local,40
5,2,9100026,s08-user-026@test.tikitaka.local,40
5,3,9100027,s08-user-027@test.tikitaka.local,40
5,4,9100028,s08-user-028@test.tikitaka.local,40
5,5,9100029,s08-user-029@test.tikitaka.local,40
5,6,9100030,s08-user-030@test.tikitaka.local,40
6,1,9100031,s08-user-031@test.tikitaka.local,50
6,2,9100032,s08-user-032@test.tikitaka.local,50
6,3,9100033,s08-user-033@test.tikitaka.local,50
6,4,9100034,s08-user-034@test.tikitaka.local,50
6,5,9100035,s08-user-035@test.tikitaka.local,50
6,6,9100036,s08-user-036@test.tikitaka.local,50
7,1,9100037,s08-user-037@test.tikitaka.local,60
7,2,9100038,s08-user-038@test.tikitaka.local,60
7,3,9100039,s08-user-039@test.tikitaka.local,60
7,4,9100040,s08-user-040@test.tikitaka.local,60
7,5,9100041,s08-user-041@test.tikitaka.local,60
7,6,9100042,s08-user-042@test.tikitaka.local,60
8,1,9100043,s08-user-043@test.tikitaka.local,70
8,2,9100044,s08-user-044@test.tikitaka.local,70
8,3,9100045,s08-user-045@test.tikitaka.local,70
8,4,9100046,s08-user-046@test.tikitaka.local,70
8,5,9100047,s08-user-047@test.tikitaka.local,70
8,6,9100048,s08-user-048@test.tikitaka.local,70
9,1,9100049,s08-user-049@test.tikitaka.local,80
9,2,9100050,s08-user-050@test.tikitaka.local,80
9,3,9100051,s08-user-051@test.tikitaka.local,80
9,4,9100052,s08-user-052@test.tikitaka.local,80
9,5,9100053,s08-user-053@test.tikitaka.local,80
9,6,9100054,s08-user-054@test.tikitaka.local,80
10,1,9100055,s08-user-055@test.tikitaka.local,90
10,2,9100056,s08-user-056@test.tikitaka.local,90
10,3,9100057,s08-user-057@test.tikitaka.local,90
10,4,9100058,s08-user-058@test.tikitaka.local,90
10,5,9100059,s08-user-059@test.tikitaka.local,90
10,6,9100060,s08-user-060@test.tikitaka.local,90
11,1,9100061,s08-user-061@test.tikitaka.local,100
11,2,9100062,s08-user-062@test.tikitaka.local,100
11,3,9100063,s08-user-063@test.tikitaka.local,100
11,4,9100064,s08-user-064@test.tikitaka.local,100
11,5,9100065,s08-user-065@test.tikitaka.local,100
11,6,9100066,s08-user-066@test.tikitaka.local,100
12,1,9100067,s08-user-067@test.tikitaka.local,110
12,2,9100068,s08-user-068@test.tikitaka.local,110
12,3,9100069,s08-user-069@test.tikitaka.local,110
12,4,9100070,s08-user-070@test.tikitaka.local,110
12,5,9100071,s08-user-071@test.tikitaka.local,110
12,6,9100072,s08-user-072@test.tikitaka.local,110
13,1,9100073,s08-user-073@test.tikitaka.local,120
13,2,9100074,s08-user-074@test.tikitaka.local,120
13,3,9100075,s08-user-075@test.tikitaka.local,120
13,4,9100076,s08-user-076@test.tikitaka.local,120
13,5,9100077,s08-user-077@test.tikitaka.local,120
13,6,9100078,s08-user-078@test.tikitaka.local,120
14,1,9100079,s08-user-079@test.tikitaka.local,130
14,2,9100080,s08-user-080@test.tikitaka.local,130
14,3,9100081,s08-user-081@test.tikitaka.local,130
14,4,9100082,s08-user-082@test.tikitaka.local,130
14,5,9100083,s08-user-083@test.tikitaka.local,130
14,6,9100084,s08-user-084@test.tikitaka.local,130
15,1,9100085,s08-user-085@test.tikitaka.local,140
15,2,9100086,s08-user-086@test.tikitaka.local,140
15,3,9100087,s08-user-087@test.tikitaka.local,140
15,4,9100088,s08-user-088@test.tikitaka.local,140
15,5,9100089,s08-user-089@test.tikitaka.local,140
15,6,9100090,s08-user-090@test.tikitaka.local,140
16,1,9100091,s08-user-091@test.tikitaka.local,150
16,2,9100092,s08-user-092@test.tikitaka.local,150
16,3,9100093,s08-user-093@test.tikitaka.local,150
16,4,9100094,s08-user-094@test.tikitaka.local,150
16,5,9100095,s08-user-095@test.tikitaka.local,150
16,6,9100096,s08-user-096@test.tikitaka.local,150
17,1,9100097,s08-user-097@test.tikitaka.local,160
17,2,9100098,s08-user-098@test.tikitaka.local,160
17,3,9100099,s08-user-099@test.tikitaka.local,160
17,4,9100100,s08-user-100@test.tikitaka.local,160
17,5,9100101,s08-user-101@test.tikitaka.local,160
17,6,9100102,s08-user-102@test.tikitaka.local,160
18,1,9100103,s08-user-103@test.tikitaka.local,170
18,2,9100104,s08-user-104@test.tikitaka.local,170
18,3,9100105,s08-user-105@test.tikitaka.local,170
18,4,9100106,s08-user-106@test.tikitaka.local,170
18,5,9100107,s08-user-107@test.tikitaka.local,170
18,6,9100108,s08-user-108@test.tikitaka.local,170
19,1,9100109,s08-user-109@test.tikitaka.local,180
19,2,9100110,s08-user-110@test.tikitaka.local,180
19,3,9100111,s08-user-111@test.tikitaka.local,180
19,4,9100112,s08-user-112@test.tikitaka.local,180
